,created_at,text,lang,timestamp_ms,preprocessed,lemma stop
139,Sat Nov 06 20:20:00 +0000 2021,"Ep.289 — 14:2 — ""Gods and Monsters""

you were in a lot 
of pain, and Lucifer saw 
and exploited it

@MarkRPellegrino @mishacollins",en,1636230000657,ep 289 14 2 gods and monsters you were in a lot of pain and lucifer saw and exploited it ,ep 289 14 2 gods monsters lot pain lucifer saw exploit
142,Sat Nov 06 21:44:35 +0000 2021,"My order of ""some things I still cant tell you"" was cancelled😭 (I preordered it as soon as it was possible) I just wanna read it like the rest of the people 💕 You can't buy it in Germany 🥺 @mishacollins",en,1636235075663,my order of some things i still cant tell you was cancelled i preordered it as soon as it was possible i just wanna read it like the rest of the people you can t buy it in germany ,order things still cant tell cancel preordered soon possible wanna read like rest people buy germany
155,Sun Nov 07 10:30:48 +0000 2021,@AcklesFanClub @JensenAckles @mishacollins @cas_wants_a_cat @CASDEANISM @CasDeanMyHeaven @casiferswings @casinthemeadow @Casllins @bestjenmish the pockets are different but still - misha is clearly dean-coded. 😂,en,1636281048665, the pockets are different but still misha is clearly dean coded ,pocket different still misha clearly dean cod
159,Sun Nov 07 15:39:10 +0000 2021,"So, like, we're all in agreement that Misha Collins &amp; Oliver Stark should meet and cause chaos together, right?",en,1636299550658,so like we re all in agreement that misha collins amp oliver stark should meet and cause chaos together right ,like agreement misha collins amp oliver stark meet cause chaos together right
162,Sun Nov 07 17:36:08 +0000 2021,@Iovelyackles @mishacollins His smile. And the way he’s looking at you. I’m weak. How did you stay coherent? This is amongst my favorite ops! Thanks for sharing with us ❤️,en,1636306568658, his smile and the way he s looking at you i m weak how did you stay coherent this is amongst my favorite ops thanks for sharing with us ,smile way look weak stay coherent amongst favorite ops thank share us
163,Sun Nov 07 18:42:57 +0000 2021,"@MariaSantocono @jules_laufeyson I know he said he stopped reading comments because he was very depressed when he saw some hating ones. But he checks the ""misha collins"" mentions every once in a while, so he could see that nasty tweet. I hope he doesn't.",en,1636310577661, i know he said he stopped reading comments because he was very depressed when he saw some hating ones but he checks the misha collins mentions every once in a while so he could see that nasty tweet i hope he doesn t ,know say stop read comment depress saw hat ones check misha collins mention every could see nasty tweet hope
165,Sun Nov 07 19:25:02 +0000 2021,"🤔Thinking in the future name for @mishacollins book, it could be 
From #SomeThingsIStillCantTellYou
To
#SomeThingsNowImGonnaTellYouYoureNotReadyYouBetterRun😅
Just kidding🙈 
Manifesting Volume 2 or new book soon🤞🤩🤞 https://t.co/MYxUpBnX4W",en,1636313102666, thinking in the future name for book it could be from to just kidding manifesting volume 2 or new book soon ,think future name book could kid manifest volume 2 new book soon
172,Mon Nov 08 03:54:11 +0000 2021,@mishackiwi @mishacollins Yeah so far there's only 2 individual copies in most of Southern Ontario. I hope more soon,en,1636343651663, yeah so far there s only 2 individual copies in most of southern ontario i hope more soon,yeah far 2 individual copy southern ontario hope soon
173,Mon Nov 08 04:08:10 +0000 2021,"@jennythefriend @autisticcastiel @Casnewvessel @patrocluscas @MILFSTIEL @wondersofprey @HONEYBEECASTlEL @fionaswhvre @girlboss_cas @bloodfreakish @FIREFLYCASTIEL @caskissr @mishacollins misha, reading all of this on his stan account: https://t.co/SvUNnvGSrG",en,1636344490657, misha reading all of this on his stan account ,misha read stan account
174,Mon Nov 08 06:14:11 +0000 2021,"Yesterday, I was fighting demons with Azazel while hunting the Ghostfacers and utilizing salt. Later, I broke the fourth wall, so Misha Collins and I went home.",en,1636352051659,yesterday i was fighting demons with azazel while hunting the ghostfacers and utilizing salt later i broke the fourth wall so misha collins and i went home ,yesterday fight demons azazel hunt ghostfacers utilize salt later break fourth wall misha collins go home
175,Mon Nov 08 16:44:20 +0000 2021,"@EkaGlzz @mishacollins Yesss, maybe he really is 🥺 I really hope so ❤️",en,1636389860657, yesss maybe he really is i really hope so ,yesss maybe really really hope
182,Mon Nov 08 21:38:17 +0000 2021,@mishacollins @PBS @Roadfood123 @GoldPeak @Ally This trailer has led me to the conclusion that I have made nothing but terrible decisions in my life. Why am I not getting paid to eat?,en,1636407497657, this trailer has led me to the conclusion that i have made nothing but terrible decisions in my life why am i not getting paid to eat ,trailer lead conclusion make nothing terrible decisions life get pay eat
183,Mon Nov 08 22:10:14 +0000 2021,"@zenxv @mishacollins … have intent to kill, that’s your logic. 🤷‍♀️",en,1636409414663, have intent to kill that s your logic ,intent kill logic
