,compound,count
2022-09-20,0.09725945945945946,37.0
2022-09-21,0.15797499999999998,8.0
2022-09-22,0.3062,2.0
2022-09-23,0.15932222222222223,9.0
2022-09-24,-0.19304285714285715,7.0
2022-09-25,0.40831999999999996,5.0
2022-09-26,0.30977499999999997,12.0
2022-09-27,0.26644999999999996,4.0
2022-09-28,0.24546666666666664,3.0
2022-09-29,0.1096,8.0
2022-09-30,0.4019,1.0
2022-10-01,0.4609,8.0
2022-10-02,0.22851666666666667,12.0
2022-10-03,0.1471111111111111,9.0
2022-10-04,0.24284285714285714,7.0
2022-10-05,0.2278111111111111,9.0
2022-10-06,0.21261000000000002,10.0
2022-10-07,0.30151428571428573,7.0
2022-10-08,-0.036125000000000004,4.0
2022-10-09,0.0,0.0
2022-10-10,-0.035025,4.0
2022-10-11,0.1957,3.0
2022-10-12,0.27774,5.0
2022-10-13,0.0,0.0
2022-10-14,0.4221,2.0
2022-10-15,0.0,0.0
2022-10-16,0.375425,4.0
2022-10-17,0.21681999999999996,5.0
2022-10-18,0.0026111111111111075,9.0
2022-10-19,0.148025,8.0
2022-10-20,0.1531,1.0
2022-10-21,-0.15155,6.0
2022-10-22,0.18328,5.0
2022-10-23,0.3246666666666666,3.0
2022-10-24,0.16515000000000002,2.0
2022-10-25,0.1806,2.0
2022-10-26,0.30979999999999996,4.0
2022-10-27,0.3529166666666666,6.0
2022-10-28,0.0382,5.0
2022-10-29,0.14806,5.0
2022-10-30,0.31845,2.0
2022-10-31,0.2708333333333333,6.0
2022-11-01,0.1594642857142857,14.0
2022-11-02,0.27992,5.0
2022-11-03,0.6597,1.0
2022-11-04,0.09545,4.0
2022-11-05,0.3612,1.0
2022-11-06,-0.029883333333333317,6.0
2022-11-07,0.19472758620689656,29.0
2022-11-08,0.1482181818181818,11.0
2022-11-09,0.09193333333333333,3.0
2022-11-10,0.0,1.0
2022-11-11,0.52,3.0
2022-11-12,0.0,2.0
2022-11-13,0.16397692307692308,13.0
2022-11-14,0.6369,1.0
2022-11-15,0.128,1.0
2022-11-16,0.2139888888888889,9.0
2022-11-17,0.3344142857142857,7.0
2022-11-18,0.2920285714285714,14.0
2022-11-19,0.40293333333333337,3.0
2022-11-20,0.2328933333333333,15.0
2022-11-21,0.387475,4.0
2022-11-22,0.2294,2.0
